"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000313","GO:0000313","organellar ribosome","10/190","48/25124",2.45804160483857e-12,1.40927718677411e-11,8.6247073853985e-12,"EMB2784/PRPL34/RPS9/CS17/PRPL28/EMB3113/RPL15/RPL12-C/RPL9/emb2726",10
"GO:0005730","GO:0005730","nucleolus","21/190","486/25124",1.47544514871491e-10,7.93051767434262e-10,4.85343798919377e-10,"ARP1/NA/NA/RPL40A/AS1/RPL16A/NA/ATL5/ATBBC1/NA/RPL24/AtCBF5/RPS18C/NA/RPL4/NA/NA/NA/ATHD2/NA/NA",21
"GO:0042646","GO:0042646","plastid nucleoid","7/190","50/25124",9.6093317015982e-08,4.86119133139674e-07,2.97502529461245e-07,"PRIN2/ATWHY1/FLN1/ATFSD1/FSD3/PDE225/PRPL29",7
"GO:0000315","GO:0000315","organellar large ribosomal subunit","6/190","31/25124",1.0873340082061e-07,5.19504026142916e-07,3.179339205281e-07,"EMB2784/PRPL34/PRPL28/RPL15/RPL12-C/RPL9",6
"GO:0009295","GO:0009295","nucleoid","7/190","56/25124",2.14741649148083e-07,9.71988517196588e-07,5.94852213706602e-07,"PRIN2/ATWHY1/FLN1/ATFSD1/FSD3/PDE225/PRPL29",7
"GO:0042644","GO:0042644","chloroplast nucleoid","6/190","43/25124",8.34969412328342e-07,3.59036847301187e-06,2.19728792717985e-06,"ATWHY1/FLN1/ATFSD1/FSD3/PDE225/PRPL29",6
"GO:0005732","GO:0005732","small nucleolar ribonucleoprotein complex","4/190","26/25124",4.1588169089124e-05,0.000170313454364984,0.000104231000223368,"AtCBF5/NA/NA/NA",4
"GO:0000314","GO:0000314","organellar small ribosomal subunit","3/190","15/25124",0.000181154092357147,0.000708147815577939,0.00043338299606973,"RPS9/CS17/EMB3113",3
"GO:0048046","GO:0048046","apoplast","8/190","301/25124",0.0021459704675956,0.00794356999886332,0.00486142594789677,"CPN60B/CH-CPN60A/NA/NA/CYP20-3/ATNDK1/AtFBA2/ATCPN21",8
"GO:0005759","GO:0005759","mitochondrial matrix","5/190","120/25124",0.00221681023224093,0.00794356999886332,0.00486142594789677,"PRPL34/PRPL28/EMB3113/CHL-CPN10/ATCPN21",5
"GO:0005761","GO:0005761","mitochondrial ribosome","3/190","38/25124",0.00295596858581999,0.00989557034679814,0.00605604060391563,"PRPL34/PRPL28/EMB3113",3
"GO:0031428","GO:0031428","box C/D snoRNP complex","2/190","11/25124",0.00299168405833432,0.00989557034679814,0.00605604060391563,"NA/NA",2
"GO:0032040","GO:0032040","small-subunit processome","3/190","49/25124",0.00607546751216963,0.0193514891128366,0.0118430165929233,"NA/NA/NA",3
"GO:0009508","GO:0009508","plastid chromosome","2/190","18/25124",0.00803802974079743,0.0246882342038778,0.0151090784601456,"ATWHY1/PDE225",2
"GO:0000229","GO:0000229","cytoplasmic chromosome","2/190","20/25124",0.0098835017861924,0.0283327051204182,0.0173394768178814,"ATWHY1/PDE225",2
"GO:0098807","GO:0098807","chloroplast thylakoid membrane protein complex","2/190","20/25124",0.0098835017861924,0.0283327051204182,0.0173394768178814,"CP22/PSAG",2
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","2/190","25/25124",0.0152247228012602,0.0422363277712379,0.0258484258085911,"PRPL34/PRPL28",2
"GO:0071011","GO:0071011","precatalytic spliceosome","2/190","31/25124",0.0229113239153557,0.0615741830225184,0.0376830985449929,"NA/NA",2
"GO:0046540","GO:0046540","U4/U6 x U5 tri-snRNP complex","2/190","32/25124",0.0243189664681135,0.0633767004926595,0.0387862304116643,"NA/NA",2
"GO:0010319","GO:0010319","stromule","2/190","35/25124",0.028746639766361,0.0727120888207954,0.0444994423627879,"CPN60B/NA",2
"GO:0030684","GO:0030684","preribosome","3/190","90/25124",0.0309632398688847,0.0760811036778309,0.0465612629607288,"NA/NA/NA",3
"GO:0097526","GO:0097526","spliceosomal tri-snRNP complex","2/190","41/25124",0.0384710270935331,0.0919030091678846,0.0562441916572121,"NA/NA",2
"GO:0031969","GO:0031969","chloroplast membrane","3/190","134/25124",0.0815827272434497,0.189624717376667,0.116049398639331,"ATTOC33/atTIC20/NA",3
"GO:0009706","GO:0009706","chloroplast inner membrane","2/190","65/25124",0.0868708491355068,0.196602448043515,0.120319735644746,"atTIC20/NA",2
"GO:0010287","GO:0010287","plastoglobule","2/190","67/25124",0.0914589619602274,0.201610197450566,0.123384453764116,"LHB1B1/AtFBA2",2
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","1/190","13/25124",0.0939942840883935,0.201610197450566,0.123384453764116,"EMB3113",1
"GO:0009528","GO:0009528","plastid inner membrane","2/190","69/25124",0.0961164894822467,0.201610197450566,0.123384453764116,"atTIC20/NA",2
"GO:0000347","GO:0000347","THO complex","1/190","14/25124",0.100849490413239,0.204534057065041,0.125173841533073,"MCM3",1
"GO:0042170","GO:0042170","plastid membrane","3/190","148/25124",0.10226702853252,0.204534057065041,0.125173841533073,"ATTOC33/atTIC20/NA",3
"GO:0101031","GO:0101031","chaperone complex","1/190","15/25124",0.107653098410909,0.210412874166776,0.128771648816877,"BDS2",1
"GO:0097525","GO:0097525","spliceosomal snRNP complex","2/190","78/25124",0.117852863903097,0.221600155793898,0.135618210400182,"NA/NA",2
"GO:0030532","GO:0030532","small nuclear ribonucleoprotein complex","2/190","79/25124",0.120339280136751,0.221600155793898,0.135618210400182,"NA/NA",2
"GO:0009522","GO:0009522","photosystem I","1/190","17/25124",0.121107061887363,0.221600155793898,0.135618210400182,"PSAG",1
"GO:0048471","GO:0048471","perinuclear region of cytoplasm","1/190","18/25124",0.127758181425396,0.228900075053834,0.140085725247144,"AtHsp90.5",1
"GO:0005682","GO:0005682","U5 snRNP","1/190","19/25124",0.134359230797226,0.235814160174724,0.144317111490039,"NA",1
"GO:0120114","GO:0120114","Sm-like protein family complex","2/190","87/25124",0.140670000354585,0.241952400609886,0.148073684583774,"NA/NA",2
"GO:0099503","GO:0099503","secretory vesicle","3/190","174/25124",0.145392173800023,0.245171116603961,0.15004352301344,"NA/NA/NA",3
"GO:0005685","GO:0005685","U1 snRNP","1/190","24/25124",0.166626451190547,0.275335698853587,0.168504099665598,"NA",1
"GO:0005887","GO:0005887","integral component of plasma membrane","2/190","98/25124",0.169683628363257,0.275335698853587,0.168504099665598,"ATLPP2/AtSWEET1",2
"GO:0005694","GO:0005694","chromosome","5/190","416/25124",0.207989963725608,0.331243275563006,0.202719262890457,"ATWHY1/AS1/KNAT4/PDE225/MCM3",5
"GO:0098797","GO:0098797","plasma membrane protein complex","1/190","33/25124",0.221721534021346,0.336168201565614,0.205733293491808,"NA",1
"GO:0005686","GO:0005686","U2 snRNP","1/190","34/25124",0.227614998153344,0.336168201565614,0.205733293491808,"NA",1
"GO:0098798","GO:0098798","mitochondrial protein complex","3/190","219/25124",0.230507496349359,0.336168201565614,0.205733293491808,"PRPL34/PRPL28/EMB3113",3
