"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir02Ox-b22040.2",1.07105862378877e-132,3.28206545029032,0.653,0.032,2.11780421681753e-128,1.17725495701169e-203,3.86943303170655,0.782,0.034,2.32778622649921e-199,1.07105862378877e-132,2.35450991402337e-203,"Chir02Ox-b22040.2"
"Chir04Ox-b19970.2",2.46232051653888e-11,0.999437406251955,0.102,0.009,4.86874635735234e-07,3.57434499221564e-51,1.39166810940127,0.2,0.009,7.06755235310798e-47,2.46232051653888e-11,7.1486899844313e-51,"Chir04Ox-b19970.2"
"Chir06Ox-b09400.2",0.0010805312069687,2.09276785328758,0.102,0.027,1,1.20288923193272e-42,2.26383758147062,0.309,0.025,2.37847287830057e-38,0.0010805312069687,2.40577846386545e-42,"Chir06Ox-b09400.2"
"Chir01Ox-b05710.2",3.01801008045133e-27,1.0636243792426,0.102,0.004,5.96751133207641e-23,3.84624930681704e-39,1.25023328136505,0.145,0.006,7.60518875436933e-35,3.01801008045133e-27,7.69249861363404e-39,"Chir01Ox-b05710.2"
"Chir08Ox-b18130.2",8.7151544314777e-15,0.290536881483592,0.143,0.014,1.72324748573609e-10,3.19986479250089e-30,0.479003418552055,0.2,0.015,6.32709265421201e-26,8.7151544314777e-15,6.39972958500181e-30,"Chir08Ox-b18130.2"
"Chir08Ox-b23420.2",1.46660292200907e-10,0.400832813436747,0.143,0.019,2.89991395768853e-06,5.5742139397811e-09,0.505205067912231,0.145,0.025,0.000110218932231292,5.5742139397811e-09,2.93320584380304e-10,"Chir08Ox-b23420.2"
"Chir06Ox-b25450.2",0.00153196921642413,0.713579607729627,0.102,0.028,1,7.88462705031929e-10,0.827626369320374,0.2,0.04,1.55902730665963e-05,0.00153196921642413,1.57692540944218e-09,"Chir06Ox-b25450.2"
"Chir01Ox-b31990.2",2.35597713325505e-07,0.345478350736559,0.143,0.026,0.00465847358558521,1.56128152383432e-07,0.28403944108096,0.218,0.058,0.0030871219570776,2.35597713325505e-07,3.12256280390864e-07,"Chir01Ox-b31990.2"
"Chir03Ox-b09330.2",0.0644524795367641,0.571031495698244,0.102,0.049,1,1.67819111139514e-06,0.897542334781538,0.2,0.057,0.0331828728456161,0.0644524795367641,3.35637940646488e-06,"Chir03Ox-b09330.2"
"Chir02Ox-b12050.2",0.00249738922405241,0.557537045598498,0.204,0.089,1,3.04730417918581e-05,1.23842344967412,0.255,0.099,0.60254345535041,0.00249738922405241,6.09451549774402e-05,"Chir02Ox-b12050.2"
"Chir07Ox-b27100.2",0.0466912062731866,0.271558960246422,0.143,0.075,1,5.65484434821597e-05,0.535989961867802,0.218,0.083,1,0.0466912062731866,0.000113093689237859,"Chir07Ox-b27100.2"
"Chir02Ox-b01960.2",0.817373374636382,0.353927975104827,0.102,0.097,1,0.00144863855342854,1.06475095704455,0.2,0.09,1,0.817373374636382,0.00289517855319859,"Chir02Ox-b01960.2"
