"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir01Ox-b01580.2",0,0.625704702796301,0.32,0.002,0,0,0.565992593779411,0.298,0.002,0,0,0,"Chir01Ox-b01580.2"
"Chir01Ox-b19700.2",0,1.43586507212726,0.703,0.006,0,0,1.85178544113325,0.767,0.01,0,0,0,"Chir01Ox-b19700.2"
"Chir01Ox-b22650.2",0,0.9297087197231,0.35,0.001,0,0,0.93968193278926,0.35,0.003,0,0,0,"Chir01Ox-b22650.2"
"Chir01Ox-b25480.2",0,4.61315977609462,0.267,0.004,0,0,4.72683326532771,0.285,0.013,0,0,0,"Chir01Ox-b25480.2"
"Chir02Ox-b15720.2",0,0.345044422343424,0.261,0.01,0,0,0.31644399781791,0.267,0.012,0,0,0,"Chir02Ox-b15720.2"
"Chir02Ox-b24950.2",0,0.524555323533772,0.418,0.01,0,0,0.4206916950077,0.378,0.013,0,0,0,"Chir02Ox-b24950.2"
"Chir03Ox-b01000.2",0,1.00414302921091,0.113,0.001,0,0,1.11967835169824,0.15,0.001,0,0,0,"Chir03Ox-b01000.2"
"Chir03Ox-b05170.2",0,7.35455265267439,0.715,0.057,0,0,7.0192700675379,0.745,0.1,0,0,0,"Chir03Ox-b05170.2"
"Chir03Ox-b16450.2",0,3.98240133145386,0.335,0.004,0,0,4.29912576403841,0.333,0.013,0,0,0,"Chir03Ox-b16450.2"
"Chir03Ox-b16460.2",0,7.52506988384631,0.528,0.025,0,0,7.47231476291616,0.534,0.054,0,0,0,"Chir03Ox-b16460.2"
"Chir03Ox-b16470.2",0,7.11730319914096,0.576,0.02,0,0,7.00156305215308,0.53,0.042,0,0,0,"Chir03Ox-b16470.2"
"Chir03Ox-b16480.2",0,5.02908761955365,0.454,0.006,0,0,5.24276423763666,0.424,0.011,0,0,0,"Chir03Ox-b16480.2"
"Chir03Ox-b24740.2",0,1.26631289402661,0.608,0.018,0,0,1.12384973412767,0.594,0.024,0,0,0,"Chir03Ox-b24740.2"
"Chir03Ox-b26140.2",0,1.00070113103246,0.412,0.004,0,0,0.938507712503581,0.404,0.004,0,0,0,"Chir03Ox-b26140.2"
"Chir03Ox-b32580.2",0,0.456423761919742,0.246,0.006,0,0,0.446737222707469,0.231,0.006,0,0,0,"Chir03Ox-b32580.2"
"Chir04Ox-b06770.2",0,0.632990730965753,0.51,0.026,0,0,0.608863783528002,0.501,0.028,0,0,0,"Chir04Ox-b06770.2"
"Chir04Ox-b12930.2",0,0.68023406328931,0.359,0.011,0,0,0.516767360336846,0.34,0.013,0,0,0,"Chir04Ox-b12930.2"
"Chir04Ox-b20210.2",0,0.985837731006715,0.585,0.003,0,0,1.00824658075591,0.602,0.005,0,0,0,"Chir04Ox-b20210.2"
"Chir04Ox-b21490.2",0,0.854313879223217,0.273,0.003,0,0,1.26658479433804,0.374,0.006,0,0,0,"Chir04Ox-b21490.2"
"Chir04Ox-b23870.2",0,1.18845774268552,0.576,0.046,0,0,1.1444202397554,0.622,0.05,0,0,0,"Chir04Ox-b23870.2"
