"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir01Ox-b02880.2",0,1.19465458834642,0.576,0.071,0,0,1.20152635440197,0.614,0.092,0,0,0,"Chir01Ox-b02880.2"
"Chir01Ox-b04690.2",0,0.845742750281656,0.782,0.081,0,0,0.806779706868622,0.794,0.095,0,0,0,"Chir01Ox-b04690.2"
"Chir01Ox-b06000.2",0,0.289475398882838,0.468,0.071,0,0,0.281699674345758,0.481,0.071,0,0,0,"Chir01Ox-b06000.2"
"Chir01Ox-b16130.2",0,0.377434519355611,0.445,0.048,0,0,0.423057412823281,0.494,0.064,0,0,0,"Chir01Ox-b16130.2"
"Chir01Ox-b16660.2",0,0.524027544035789,0.444,0.049,0,0,0.56347658341971,0.507,0.065,0,0,0,"Chir01Ox-b16660.2"
"Chir01Ox-b17560.2",0,0.385099099057382,0.518,0.075,0,0,0.375225108649177,0.521,0.079,0,0,0,"Chir01Ox-b17560.2"
"Chir01Ox-b23560.2",0,0.369318644883831,0.42,0.055,0,0,0.370816473122169,0.459,0.068,0,0,0,"Chir01Ox-b23560.2"
"Chir01Ox-b32830.2",0,0.292613914605519,0.448,0.056,0,0,0.346320619249116,0.525,0.067,0,0,0,"Chir01Ox-b32830.2"
"Chir01Ox-b38820.2",0,0.300605576053655,0.401,0.07,0,0,0.285447555256345,0.425,0.086,0,0,0,"Chir01Ox-b38820.2"
"Chir02Ox-b02100.2",0,0.545938547039562,0.394,0.072,0,0,0.597319610898921,0.434,0.091,0,0,0,"Chir02Ox-b02100.2"
"Chir02Ox-b13120.2",0,0.337204429161514,0.428,0.076,0,0,0.301451314462871,0.433,0.091,0,0,0,"Chir02Ox-b13120.2"
"Chir03Ox-b02270.2",0,1.23760863754034,0.759,0.07,0,0,1.30695879263781,0.799,0.093,0,0,0,"Chir03Ox-b02270.2"
"Chir03Ox-b04700.2",0,0.880372814676785,0.528,0.07,0,0,0.843954595404517,0.57,0.081,0,0,0,"Chir03Ox-b04700.2"
"Chir03Ox-b09520.2",0,0.364888021012508,0.506,0.054,0,0,0.413321104134037,0.551,0.064,0,0,0,"Chir03Ox-b09520.2"
"Chir03Ox-b10770.2",0,0.636845564365706,0.46,0.054,0,0,0.580126444149784,0.472,0.068,0,0,0,"Chir03Ox-b10770.2"
"Chir03Ox-b12040.2",0,1.46202343348969,0.491,0.049,0,0,1.41391045189513,0.538,0.065,0,0,0,"Chir03Ox-b12040.2"
"Chir03Ox-b30200.2",0,0.57385556925777,0.502,0.054,0,0,0.615923971337284,0.54,0.07,0,0,0,"Chir03Ox-b30200.2"
"Chir03Ox-b31960.2",0,0.662191744605281,0.562,0.057,0,0,0.649195629705529,0.591,0.069,0,0,0,"Chir03Ox-b31960.2"
"Chir03Ox-b35140.2",0,0.418810555516121,0.449,0.043,0,0,0.435727459456429,0.497,0.061,0,0,0,"Chir03Ox-b35140.2"
"Chir04Ox-b16340.2",0,0.374391400945534,0.269,0.036,0,0,0.468222511023261,0.321,0.052,0,0,0,"Chir04Ox-b16340.2"
"Chir05Ox-b03360.2",0,0.473478006760706,0.529,0.064,0,0,0.503199385022854,0.586,0.085,0,0,0,"Chir05Ox-b03360.2"
"Chir05Ox-b04890.2",0,0.915016442052328,0.697,0.056,0,0,0.967380011512599,0.728,0.073,0,0,0,"Chir05Ox-b04890.2"
"Chir05Ox-b05360.2",0,0.267013705424939,0.454,0.079,0,0,0.287986782919084,0.5,0.094,0,0,0,"Chir05Ox-b05360.2"
"Chir05Ox-b12760.2",0,0.272770360271868,0.432,0.057,0,0,0.332553073549778,0.506,0.074,0,0,0,"Chir05Ox-b12760.2"
"Chir05Ox-b16620.2",0,1.02238520494864,0.489,0.042,0,0,1.08164196139108,0.531,0.054,0,0,0,"Chir05Ox-b16620.2"
"Chir05Ox-b17060.2",0,0.414368202279764,0.36,0.072,0,0,0.399540331279942,0.375,0.085,0,0,0,"Chir05Ox-b17060.2"
"Chir05Ox-b21300.2",0,0.332044383832838,0.461,0.05,0,0,0.350010646820275,0.493,0.057,0,0,0,"Chir05Ox-b21300.2"
"Chir05Ox-b21740.2",0,0.311623306715218,0.385,0.042,0,0,0.391772192148361,0.474,0.059,0,0,0,"Chir05Ox-b21740.2"
"Chir05Ox-b28940.2",0,0.390060742607299,0.548,0.067,0,0,0.375792857060021,0.55,0.064,0,0,0,"Chir05Ox-b28940.2"
"Chir06Ox-b02560.2",0,1.15300302237599,0.681,0.082,0,0,1.08084462427205,0.697,0.087,0,0,0,"Chir06Ox-b02560.2"
"Chir06Ox-b05150.2",0,0.618166634080453,0.395,0.077,0,0,0.581445564784719,0.434,0.095,0,0,0,"Chir06Ox-b05150.2"
"Chir06Ox-b33050.2",0,0.434921054842823,0.567,0.074,0,0,0.433712639525501,0.582,0.077,0,0,0,"Chir06Ox-b33050.2"
"Chir06Ox-b36620.2",0,0.722121831273116,0.757,0.08,0,0,0.745543886369472,0.799,0.09,0,0,0,"Chir06Ox-b36620.2"
"Chir06Ox-b37380.2",0,0.368048080278502,0.438,0.074,0,0,0.350609418053829,0.457,0.085,0,0,0,"Chir06Ox-b37380.2"
"Chir06Ox-b37850.2",0,1.88959593299144,0.853,0.081,0,0,1.72165978011773,0.877,0.093,0,0,0,"Chir06Ox-b37850.2"
"Chir07Ox-b06540.2",0,0.94353617864233,0.464,0.066,0,0,0.77330137739284,0.484,0.085,0,0,0,"Chir07Ox-b06540.2"
"Chir07Ox-b18450.2",0,0.544607682555028,0.683,0.081,0,0,0.554995996447609,0.718,0.094,0,0,0,"Chir07Ox-b18450.2"
"Chir07Ox-b19650.2",0,0.359316088047506,0.572,0.091,0,0,0.372152324601671,0.6,0.095,0,0,0,"Chir07Ox-b19650.2"
"Chir07Ox-b23260.2",0,0.251839664406356,0.396,0.038,0,0,0.250663148443297,0.437,0.051,0,0,0,"Chir07Ox-b23260.2"
"Chir07Ox-b23780.2",0,0.727922519528677,0.708,0.082,0,0,0.785650176564193,0.768,0.1,0,0,0,"Chir07Ox-b23780.2"
"Chir07Ox-b25410.2",0,0.510263178610121,0.487,0.083,0,0,0.482377668088792,0.503,0.093,0,0,0,"Chir07Ox-b25410.2"
"Chir07Ox-b25670.2",0,0.288167886444163,0.419,0.051,0,0,0.286985386619091,0.465,0.063,0,0,0,"Chir07Ox-b25670.2"
"Chir07Ox-b34930.2",0,0.808430581130622,0.533,0.056,0,0,0.823945794015964,0.585,0.076,0,0,0,"Chir07Ox-b34930.2"
"Chir08Ox-b01870.2",0,0.779119802466489,0.776,0.073,0,0,0.815384454211171,0.816,0.088,0,0,0,"Chir08Ox-b01870.2"
"Chir08Ox-b17810.2",0,0.287036144870043,0.273,0.023,0,0,0.288079704217148,0.281,0.028,0,0,0,"Chir08Ox-b17810.2"
"Chir08Ox-b18100.2",0,0.767706910657253,0.281,0.041,0,0,0.732449319342033,0.314,0.058,0,0,0,"Chir08Ox-b18100.2"
"Chir08Ox-b29660.2",0,0.414972714629903,0.516,0.082,0,0,0.438448739942569,0.586,0.094,0,0,0,"Chir08Ox-b29660.2"
"Chir08Ox-b30340.2",0,1.71228693689556,0.408,0.059,0,0,1.76157608034578,0.44,0.079,0,0,0,"Chir08Ox-b30340.2"
"Chir08Ox-b30440.2",0,1.1905681539692,0.404,0.063,0,0,1.16712863415906,0.451,0.087,0,0,0,"Chir08Ox-b30440.2"
"Chir02Ox-b02110.2",4.68322355672345e-289,0.280153436820405,0.305,0.057,9.26013793870927e-285,0,0.318484614585472,0.347,0.07,0,4.68322355672345e-289,0,"Chir02Ox-b02110.2"
