"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir04Ox-b10020.2",0,0.378542594868534,0.364,0.084,0,0,0.351413738261364,0.351,0.072,0,0,0,"Chir04Ox-b10020.2"
"Chir05Ox-b21860.2",0,0.472000084117279,0.328,0.06,0,0,0.728535538099596,0.466,0.093,0,0,0,"Chir05Ox-b21860.2"
"Chir04Ox-b10990.2",3.04039997597085e-298,0.729951291384849,0.325,0.074,6.01178287248716e-294,0,0.493597468450721,0.246,0.049,0,3.04039997597085e-298,0,"Chir04Ox-b10990.2"
"Chir06Ox-b04340.2",1.55041814639202e-172,0.422147498056878,0.233,0.061,3.06564180086094e-168,1.47925642905775e-265,0.442247019800673,0.251,0.071,2.9249337371759e-261,1.55041814639202e-172,2.9585128581155e-265,"Chir06Ox-b04340.2"
"Chir01Ox-b18070.2",2.53777724132477e-173,0.268912027062727,0.232,0.06,5.01794693927147e-169,3.01993440666378e-255,0.294661814194904,0.191,0.044,5.9713163022963e-251,2.53777724132477e-173,6.03986881332744e-255,"Chir01Ox-b18070.2"
"Chir06Ox-b04370.2",2.42829198237603e-58,0.422497593001327,0.199,0.09,4.80146173675212e-54,8.88504321292293e-66,0.309212280970432,0.188,0.095,1.75683959449125e-61,2.42829198237603e-58,1.77700864258457e-65,"Chir06Ox-b04370.2"
"Chir01Ox-b20460.2",0,1.24860087953718,0.966,0.65,0,0,1.14020166848131,0.911,0.583,0,0,0,"Chir01Ox-b20460.2"
"Chir02Ox-b19280.2",0,0.923394201736281,0.759,0.407,0,0,1.36524257667045,0.819,0.38,0,0,0,"Chir02Ox-b19280.2"
"Chir04Ox-b10970.2",0,0.770389280634854,0.803,0.37,0,0,0.710427636220334,0.755,0.333,0,0,0,"Chir04Ox-b10970.2"
"Chir04Ox-b21570.2",0,1.51404248461054,0.929,0.379,0,0,1.63212685927505,0.948,0.354,0,0,0,"Chir04Ox-b21570.2"
"Chir04Ox-b23190.2",0,0.709575672271268,0.513,0.15,0,0,0.734850904576565,0.474,0.112,0,0,0,"Chir04Ox-b23190.2"
"Chir04Ox-b28020.2",0,1.04273344782955,0.72,0.301,0,0,1.19083059508224,0.756,0.326,0,0,0,"Chir04Ox-b28020.2"
"Chir04Ox-b28030.2",0,1.09531542568583,0.913,0.384,0,0,0.936706839532367,0.902,0.45,0,0,0,"Chir04Ox-b28030.2"
"Chir05Ox-b04030.2",0,1.19688727569977,0.901,0.504,0,0,0.784130574688153,0.692,0.307,0,0,0,"Chir05Ox-b04030.2"
"Chir05Ox-b19870.2",0,0.781795040661826,0.927,0.58,0,0,0.889192101880351,0.946,0.571,0,0,0,"Chir05Ox-b19870.2"
"Chir06Ox-b09380.2",0,0.905739591399612,0.885,0.533,0,0,1.10747787790689,0.926,0.555,0,0,0,"Chir06Ox-b09380.2"
"Chir06Ox-b18420.2",0,1.4700571421305,0.816,0.409,0,0,1.83878357646621,0.848,0.366,0,0,0,"Chir06Ox-b18420.2"
"Chir07Ox-b20580.2",0,1.38021513488817,0.986,0.531,0,0,1.44485192637744,0.97,0.458,0,0,0,"Chir07Ox-b20580.2"
"Chir08Ox-b00290.2",0,0.611973922067918,0.876,0.401,0,0,0.556050573438463,0.873,0.459,0,0,0,"Chir08Ox-b00290.2"
"Chir08Ox-b17400.2",0,1.3393209027573,0.86,0.39,0,0,1.56279675825034,0.894,0.403,0,0,0,"Chir08Ox-b17400.2"
"Chir02Ox-b00170.2",1.19032124879147e-282,0.562819862000769,0.66,0.311,2.35362220523537e-278,0,0.545787899956031,0.632,0.317,0,1.19032124879147e-282,0,"Chir02Ox-b00170.2"
"Chir03Ox-b23460.2",2.14548583237115e-264,0.476771884384985,0.616,0.296,4.24226913634747e-260,0,0.505976296552142,0.647,0.302,0,2.14548583237115e-264,0,"Chir03Ox-b23460.2"
"Chir04Ox-b16220.2",1.18561409487391e-249,0.630004226530986,0.692,0.368,2.34431474979418e-245,0,0.681260916592751,0.72,0.368,0,1.18561409487391e-249,0,"Chir04Ox-b16220.2"
"Chir06Ox-b04360.2",6.76615740373609e-239,0.674055540707266,0.492,0.191,1.33787230344074e-234,0,0.735925022237331,0.54,0.216,0,6.76615740373609e-239,0,"Chir06Ox-b04360.2"
"Chir01Ox-b08030.2",2.62649016936644e-222,0.34521082373006,0.691,0.318,5.19335901188826e-218,0,0.345088119075259,0.714,0.356,0,2.62649016936644e-222,0,"Chir01Ox-b08030.2"
"Chir03Ox-b19290.2",5.49437123969095e-222,0.673063282833432,0.794,0.491,1.08640202522409e-217,0,0.8968608316663,0.819,0.485,0,5.49437123969095e-222,0,"Chir03Ox-b19290.2"
"Chir06Ox-b29650.2",3.17258478591663e-214,0.553872687325062,0.768,0.451,6.27315189719295e-210,0,0.645524975953736,0.739,0.383,0,3.17258478591663e-214,0,"Chir06Ox-b29650.2"
"Chir02Ox-b02970.2",7.72599724140573e-212,0.559066041443656,0.732,0.424,1.52766143454316e-207,0,0.806204217594391,0.876,0.503,0,7.72599724140573e-212,0,"Chir02Ox-b02970.2"
"Chir03Ox-b28600.2",1.92176680253352e-208,0.564832854737929,0.823,0.518,3.79990949864952e-204,0,0.810839150156864,0.867,0.492,0,1.92176680253352e-208,0,"Chir03Ox-b28600.2"
