"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir01Ox-b36490.2",0,0.392700357859251,0.302,0.04,0,0,0.391575832604114,0.295,0.03,0,0,0,"Chir01Ox-b36490.2"
"Chir02Ox-b15590.2",0,1.40661938289622,0.329,0.04,0,0,1.3413723404993,0.339,0.05,0,0,0,"Chir02Ox-b15590.2"
"Chir02Ox-b16950.2",0,0.585041685176745,0.325,0.049,0,0,0.648013117482162,0.386,0.072,0,0,0,"Chir02Ox-b16950.2"
"Chir03Ox-b03770.2",0,0.890229140812753,0.498,0.096,0,0,0.946170529410811,0.528,0.095,0,0,0,"Chir03Ox-b03770.2"
"Chir04Ox-b00160.2",0,0.988489172139506,0.45,0.08,0,0,0.964197880942432,0.484,0.097,0,0,0,"Chir04Ox-b00160.2"
"Chir05Ox-b28960.2",0,1.09623612303105,0.516,0.074,0,0,1.10263261723928,0.554,0.092,0,0,0,"Chir05Ox-b28960.2"
"Chir07Ox-b03620.2",0,0.494226807355256,0.306,0.049,0,0,0.432931499213239,0.297,0.051,0,0,0,"Chir07Ox-b03620.2"
"Chir07Ox-b09460.2",0,1.04200704823511,0.274,0.035,0,0,1.42217817834656,0.322,0.049,0,0,0,"Chir07Ox-b09460.2"
"Chir07Ox-b14860.2",0,0.493882255051745,0.217,0.024,0,0,0.42542496186036,0.193,0.024,0,0,0,"Chir07Ox-b14860.2"
"Chir08Ox-b22680.2",0,0.585418983407927,0.397,0.073,0,0,0.438717137739689,0.349,0.067,0,0,0,"Chir08Ox-b22680.2"
"Chir08Ox-b24790.2",0,0.741693696967264,0.226,0.025,0,0,0.716540775790136,0.24,0.026,0,0,0,"Chir08Ox-b24790.2"
"Chir07Ox-b09470.2",7.75706743762905e-308,0.785867032049954,0.35,0.076,1.53380494444239e-303,0,0.972018767611881,0.396,0.082,0,7.75706743762905e-308,0,"Chir07Ox-b09470.2"
"Chir06Ox-b08920.2",1.23307013220776e-275,0.415478703057127,0.329,0.072,2.43814957241441e-271,0,0.363786559037367,0.34,0.073,0,1.23307013220776e-275,0,"Chir06Ox-b08920.2"
"Chir04Ox-b10040.2",2.02165233863552e-266,0.496598519485055,0.322,0.069,3.99741316918401e-262,0,0.378275106827206,0.313,0.077,0,2.02165233863552e-266,0,"Chir04Ox-b10040.2"
"Chir05Ox-b06080.2",1.12741336896809e-265,0.313105005068224,0.184,0.021,2.2292344544606e-261,0,0.337398984479604,0.204,0.023,0,1.12741336896809e-265,0,"Chir05Ox-b06080.2"
"Chir07Ox-b02670.2",2.1381722798129e-259,0.510041032062675,0.174,0.019,4.22780804887405e-255,0,0.444433889506381,0.148,0.017,0,2.1381722798129e-259,0,"Chir07Ox-b02670.2"
"Chir07Ox-b09390.2",1.79783028543204e-253,0.655278400340671,0.187,0.023,3.55484982338478e-249,0,0.893748266175239,0.245,0.032,0,1.79783028543204e-253,0,"Chir07Ox-b09390.2"
"Chir06Ox-b31280.2",1.62438591237234e-242,0.301421589965579,0.201,0.03,3.21189826453384e-238,0,0.331680688394002,0.232,0.028,0,1.62438591237234e-242,0,"Chir06Ox-b31280.2"
