"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir02Ox-b20320.2",5.40291065900123e-234,0.339847677005163,0.312,0.073,1.06831752460431e-229,0,0.366426815239556,0.343,0.084,0,5.40291065900123e-234,0,"Chir02Ox-b20320.2"
"Chir03Ox-b24290.2",1.2951996707028e-216,0.588522079634538,0.297,0.072,2.56099830888064e-212,0,0.532925971050984,0.266,0.058,0,1.2951996707028e-216,0,"Chir03Ox-b24290.2"
"Chir03Ox-b31670.2",1.00587342035076e-211,0.58393751615328,0.207,0.036,1.98891351405957e-207,0,1.26302006502145,0.291,0.045,0,1.00587342035076e-211,0,"Chir03Ox-b31670.2"
"Chir06Ox-b24490.2",2.74866294451556e-127,0.347107595166587,0.21,0.057,5.43493124019061e-123,0,0.727027671054451,0.322,0.086,0,2.74866294451556e-127,0,"Chir06Ox-b24490.2"
"Chir04Ox-b14970.2",2.52092108164497e-149,0.293796271020923,0.208,0.05,4.98461725473661e-145,3.61094535716228e-276,0.343299780219656,0.267,0.072,7.13992225471697e-272,2.52092108164497e-149,7.22189071432401e-276,"Chir04Ox-b14970.2"
"Chir05Ox-b24830.2",9.34103897786452e-59,0.285787650847379,0.204,0.09,1.84700363709315e-54,1.05398653822564e-225,0.52752378377776,0.282,0.094,2.08404758203356e-221,9.34103897786452e-59,2.10797307645118e-225,"Chir05Ox-b24830.2"
"Chir03Ox-b00110.2",2.71228221379393e-139,0.534076723658093,0.128,0.02,5.36299562133473e-135,4.63746457257606e-205,0.503589659582376,0.15,0.03,9.16965869935464e-201,2.71228221379393e-139,9.27492914515195e-205,"Chir03Ox-b00110.2"
"Chir02Ox-b11540.2",8.97716058465205e-45,0.30775422406088,0.173,0.078,1.77505396240325e-40,3.37281370844527e-149,0.566996914344914,0.216,0.076,6.66906454570883e-145,8.97716058465205e-45,6.7456274168905e-149,"Chir02Ox-b11540.2"
"Chir07Ox-b35760.2",1.43818734240789e-37,0.383107470482045,0.149,0.065,2.84372783214312e-33,6.8795119910172e-124,0.530445637435224,0.132,0.036,1.36028590598383e-119,1.43818734240789e-37,1.37590239820347e-123,"Chir07Ox-b35760.2"
"Chir05Ox-b27800.2",5.2137956466013e-109,0.494072522534013,0.195,0.055,1.03092381320248e-104,2.49657389004237e-121,0.340594398441854,0.186,0.064,4.93647555278078e-117,5.2137956466013e-109,4.99314778008488e-121,"Chir05Ox-b27800.2"
"Chir06Ox-b37330.2",3.16745006247294e-69,0.605326304653254,0.23,0.096,6.26299900852775e-65,4.01151266176307e-84,0.49066996810818,0.219,0.1,7.93196398610412e-80,3.16745006247294e-69,8.02302532352614e-84,"Chir06Ox-b37330.2"
"Chir07Ox-b11520.2",1.50124536533157e-48,0.373850831262843,0.171,0.073,2.96841246087011e-44,3.77173613074849e-60,0.39481344874118,0.185,0.091,7.45785385132899e-56,1.50124536533157e-48,7.54347226149702e-60,"Chir07Ox-b11520.2"
"Chir01Ox-b04960.2",0,0.820553626110501,0.749,0.344,0,0,0.725154018474748,0.765,0.374,0,0,0,"Chir01Ox-b04960.2"
"Chir01Ox-b15200.2",0,0.572495984273806,0.547,0.101,0,0,0.50584940494842,0.554,0.113,0,0,0,"Chir01Ox-b15200.2"
"Chir01Ox-b19750.2",0,1.05664434175764,0.666,0.167,0,0,1.02667745908483,0.681,0.176,0,0,0,"Chir01Ox-b19750.2"
"Chir04Ox-b10440.2",0,1.44988678063214,0.942,0.496,0,0,1.41056384795734,0.945,0.534,0,0,0,"Chir04Ox-b10440.2"
"Chir04Ox-b11550.2",0,0.792113559243636,0.704,0.268,0,0,0.85105775948121,0.75,0.277,0,0,0,"Chir04Ox-b11550.2"
"Chir05Ox-b15760.2",0,0.990452673041567,0.526,0.099,0,0,0.960499414828628,0.564,0.114,0,0,0,"Chir05Ox-b15760.2"
"Chir07Ox-b24620.2",0,0.752953567400977,0.574,0.173,0,0,0.456543753997427,0.458,0.13,0,0,0,"Chir07Ox-b24620.2"
"Chir08Ox-b23950.2",0,1.13061876158664,0.61,0.162,0,0,1.24633184525605,0.604,0.168,0,0,0,"Chir08Ox-b23950.2"
"Chir08Ox-b29440.2",0,1.61857708016978,0.54,0.136,0,0,1.50689727837402,0.561,0.159,0,0,0,"Chir08Ox-b29440.2"
"Chir01Ox-b43570.2",3.1734321319975e-301,0.433603289288198,0.5,0.157,6.27482735459866e-297,0,0.412648195051912,0.54,0.181,0,3.1734321319975e-301,0,"Chir01Ox-b43570.2"
"Chir02Ox-b20950.2",8.88851897474845e-298,1.82452586877047,0.436,0.127,1.75752685687701e-293,0,2.16517334552168,0.461,0.132,0,8.88851897474845e-298,0,"Chir02Ox-b20950.2"
"Chir08Ox-b19320.2",4.96108999761888e-267,0.404072466976955,0.423,0.12,9.80956325229181e-263,0,0.407646854986759,0.463,0.137,0,4.96108999761888e-267,0,"Chir08Ox-b19320.2"
"Chir04Ox-b02400.2",1.15130165371993e-260,1.51621258818969,0.602,0.26,2.27646875990041e-256,0,1.43686956056854,0.605,0.262,0,1.15130165371993e-260,0,"Chir04Ox-b02400.2"
"Chir01Ox-b26840.2",1.77190423309071e-257,0.433398474740747,0.459,0.147,3.50358624009025e-253,0,0.524534328253069,0.518,0.164,0,1.77190423309071e-257,0,"Chir01Ox-b26840.2"
"Chir03Ox-b08280.2",3.06031058117781e-230,0.529935387329405,0.608,0.289,6.05115211216288e-226,0,0.517250327729454,0.657,0.321,0,3.06031058117781e-230,0,"Chir03Ox-b08280.2"
"Chir04Ox-b15600.2",8.64556117740688e-228,0.466018179302194,0.619,0.265,1.70948681160866e-223,0,0.459161109520382,0.637,0.263,0,8.64556117740688e-228,0,"Chir04Ox-b15600.2"
"Chir03Ox-b16290.2",5.90114533002517e-200,0.501725561450816,0.589,0.277,1.16683346610588e-195,0,0.477870831848009,0.536,0.212,0,5.90114533002517e-200,0,"Chir03Ox-b16290.2"
