"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir03Ox-b16250.2",0,1.312011955973,0.396,0.046,0,0,1.46045005569354,0.305,0.034,0,0,0,"Chir03Ox-b16250.2"
"Chir03Ox-b10430.2",0,0.929853619268195,0.461,0.079,0,0,0.401513655201527,0.204,0.018,0,0,0,"Chir03Ox-b10430.2"
"Chir04Ox-b21900.2",2.6313322523714e-292,1.01932033358912,0.408,0.077,5.20293326261397e-288,1.42753696620107e-252,1.21945384581472,0.291,0.052,2.82266884326937e-248,1.42753696620107e-252,5.26266450474263e-292,"Chir04Ox-b21900.2"
"Chir07Ox-b18570.2",1.57950110158452e-220,0.459644667743981,0.4,0.096,3.12314752816308e-216,9.75772966180219e-136,0.315485538107322,0.257,0.067,1.92939588602815e-131,9.75772966180219e-136,3.15900220316909e-220,"Chir07Ox-b18570.2"
"Chir06Ox-b24640.2",8.62464890362972e-107,0.514214840127076,0.232,0.061,1.7053518277147e-102,5.66666249740912e-52,0.37682266516524,0.151,0.051,1.1204691756127e-47,5.66666249740912e-52,1.72492978072595e-106,"Chir06Ox-b24640.2"
"Chir04Ox-b25500.2",7.76497921784994e-62,0.326721972070289,0.244,0.093,1.53536934074547e-57,9.02013981439423e-57,0.30989319373945,0.212,0.083,1.78355224550017e-52,9.02013981439423e-57,1.55299584356999e-61,"Chir04Ox-b25500.2"
"Chir01Ox-b40880.2",0,1.88933368994708,0.978,0.501,0,0,2.34263220363844,0.93,0.375,0,0,0,"Chir01Ox-b40880.2"
"Chir01Ox-b40930.2",0,1.79981252365023,0.962,0.396,0,0,2.1308106131548,0.932,0.32,0,0,0,"Chir01Ox-b40930.2"
"Chir01Ox-b41230.2",0,2.66342602012885,0.856,0.305,0,0,3.08192341478828,0.676,0.145,0,0,0,"Chir01Ox-b41230.2"
"Chir01Ox-b41240.2",0,1.99934827516537,0.853,0.281,0,0,1.88643979006496,0.72,0.145,0,0,0,"Chir01Ox-b41240.2"
"Chir02Ox-b20340.2",0,2.02626742498253,0.798,0.185,0,0,1.70269499808672,0.582,0.068,0,0,0,"Chir02Ox-b20340.2"
"Chir04Ox-b16600.2",0,2.08869229238939,0.95,0.522,0,1.9198932455046e-264,1.77164518379301,0.869,0.479,3.79620491433625e-260,1.9198932455046e-264,0,"Chir04Ox-b16600.2"
"Chir04Ox-b26320.2",0,1.6995365841706,0.96,0.563,0,0,1.6097843460993,0.905,0.441,0,0,0,"Chir04Ox-b26320.2"
"Chir05Ox-b03710.2",0,2.43501818805064,0.903,0.3,0,0,2.77953375917835,0.84,0.162,0,0,0,"Chir05Ox-b03710.2"
"Chir05Ox-b05920.2",0,2.7603361723802,0.854,0.199,0,0,2.60505325006014,0.69,0.075,0,0,0,"Chir05Ox-b05920.2"
"Chir05Ox-b14380.2",0,1.79202481189843,0.729,0.173,0,0,1.48988337678667,0.495,0.087,0,0,0,"Chir05Ox-b14380.2"
"Chir05Ox-b29240.2",0,2.35496678274233,0.905,0.268,0,0,2.23211594155308,0.823,0.117,0,0,0,"Chir05Ox-b29240.2"
"Chir07Ox-b25040.2",0,0.733983919902712,0.566,0.119,0,0,0.520726285576241,0.408,0.074,0,0,0,"Chir07Ox-b25040.2"
"Chir01Ox-b40890.2",0,2.5531194069345,0.669,0.136,0,0,2.87044694294241,0.473,0.055,0,0,0,"Chir01Ox-b40890.2"
"Chir07Ox-b35440.2",4.21629928126446e-306,0.844815374920854,0.788,0.298,8.33688856884421e-302,0,0.995295427729026,0.702,0.16,0,4.21629928126446e-306,0,"Chir07Ox-b35440.2"
"Chir06Ox-b14980.2",7.17407692289267e-273,1.12683566862189,0.624,0.204,1.41853022996357e-268,0,2.03777458629067,0.644,0.141,0,7.17407692289267e-273,0,"Chir06Ox-b14980.2"
"Chir07Ox-b20580.2",9.24382862877398e-270,1.71409746337697,0.919,0.561,1.82778223476748e-265,0,2.2062909865262,0.879,0.5,0,9.24382862877398e-270,0,"Chir07Ox-b20580.2"
"Chir06Ox-b15000.2",2.5709664719608e-222,1.36092818069517,0.849,0.477,5.0835720050081e-218,0,2.22458625276473,0.8,0.305,0,2.5709664719608e-222,0,"Chir06Ox-b15000.2"
"Chir06Ox-b14990.2",5.27027508279914e-159,0.789791504801939,0.565,0.229,1.04209149212187e-154,0,1.64415178606184,0.634,0.148,0,5.27027508279914e-159,0,"Chir06Ox-b14990.2"
"Chir06Ox-b15290.2",2.16749158148509e-270,1.25004279294348,0.834,0.396,4.28578110407047e-266,7.1310491752364e-231,0.999042359876924,0.67,0.282,1.41002235341949e-226,7.1310491752364e-231,4.33498316297015e-270,"Chir06Ox-b15290.2"
"Chir04Ox-b09790.2",5.45513915085893e-266,1.1185680644545,0.938,0.592,1.07864466429934e-261,5.78524916777754e-249,1.03251079730794,0.913,0.592,1.14391731794465e-244,5.78524916777754e-249,1.0910278301717e-265,"Chir04Ox-b09790.2"
"Chir04Ox-b16990.2",3.43845857025652e-151,0.572446209825707,0.679,0.312,6.79886413096821e-147,8.98388429007272e-257,0.972276475526656,0.69,0.256,1.77638344067608e-252,3.43845857025652e-151,1.79677685801447e-256,"Chir04Ox-b16990.2"
"Chir03Ox-b00610.2",7.47389290305077e-232,1.40640732270425,0.841,0.415,1.47781284372023e-227,1.03996290539414e-137,1.10973896108256,0.691,0.37,2.05631865283582e-133,1.03996290539414e-137,1.49477858061002e-231,"Chir03Ox-b00610.2"
"Chir06Ox-b36010.2",1.08023632347753e-224,0.641081916506384,0.741,0.348,2.13595128241212e-220,4.7091848228299e-178,0.485769170385774,0.588,0.269,9.31147115018156e-174,4.7091848228299e-178,2.16047264695506e-224,"Chir06Ox-b36010.2"
"Chir03Ox-b28600.2",3.5270025501775e-222,0.834788049338061,0.914,0.53,6.97394214246598e-218,5.9703381098109e-170,0.69142784257613,0.863,0.52,1.18051495445291e-165,5.9703381098109e-170,7.05400510035491e-222,"Chir03Ox-b28600.2"
"Chir06Ox-b28930.2",4.51702032942488e-200,0.725951184596752,0.909,0.524,8.93150429737181e-196,4.16216573490736e-200,0.681006556548403,0.846,0.466,8.22985030763233e-196,4.51702032942488e-200,8.32433146981464e-200,"Chir06Ox-b28930.2"
"Chir02Ox-b05770.2",3.27714936302834e-175,0.595445839324204,0.888,0.584,6.47990743551593e-171,2.30055526441835e-198,0.652952045003663,0.872,0.564,4.54888792433441e-194,3.27714936302834e-175,4.60111052883674e-198,"Chir02Ox-b05770.2"
"Chir02Ox-b23630.2",3.16874252978279e-152,0.611564270162769,0.661,0.321,6.26555460413951e-148,4.01362467644665e-187,0.493915650430434,0.546,0.205,7.93614007273797e-183,3.16874252978279e-152,8.02724935289316e-187,"Chir02Ox-b23630.2"
"Chir06Ox-b29650.2",3.55771091275377e-184,0.640514754720325,0.861,0.463,7.03466178778803e-180,4.10122879769024e-129,0.455726823948809,0.746,0.409,8.10935970167291e-125,4.10122879769024e-129,7.11542182550747e-184,"Chir06Ox-b29650.2"
"Chir06Ox-b11160.2",6.31405989080131e-180,0.780269106211281,0.855,0.494,1.24847906220814e-175,2.87408904758876e-119,0.512695419567301,0.7,0.394,5.68293627379725e-115,2.87408904758876e-119,1.26281197816026e-179,"Chir06Ox-b11160.2"
"Chir05Ox-b02290.2",4.19757101104849e-177,0.574777975451881,0.797,0.447,8.29985716014618e-173,3.37837188213821e-175,0.559880963776378,0.719,0.386,6.68005472255189e-171,3.37837188213821e-175,8.39514202209687e-177,"Chir05Ox-b02290.2"
"Chir04Ox-b22080.2",1.61876916154037e-167,0.576807865372419,0.908,0.608,3.20079226311377e-163,1.48734880069273e-165,0.534088407504648,0.886,0.578,2.94093478360973e-161,1.48734880069273e-165,3.23753832308078e-167,"Chir04Ox-b22080.2"
"Chir02Ox-b09430.2",5.8957658089035e-144,0.510590625640875,0.845,0.529,1.16576977339449e-139,4.90125668175256e-140,0.450687675620882,0.818,0.503,9.69125483682934e-136,4.90125668175256e-140,1.17915316178067e-143,"Chir02Ox-b09430.2"
"Chir06Ox-b18420.2",1.6279037802593e-136,0.667508835572149,0.826,0.431,3.21885414470671e-132,5.39591261452414e-110,0.549835300228772,0.739,0.406,1.06693380126986e-105,5.39591261452414e-110,3.25580756051866e-136,"Chir06Ox-b18420.2"
"Chir04Ox-b21570.2",3.7748845080369e-101,0.495529716196624,0.77,0.42,7.46407913774136e-97,6.75357141364635e-123,0.712933086053975,0.747,0.406,1.33538367562029e-118,3.7748845080369e-101,1.35071428272928e-122,"Chir04Ox-b21570.2"
