"","mutant_p_val","mutant_avg_log2FC","mutant_pct.1","mutant_pct.2","mutant_p_val_adj","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","max_pval","minimump_p_val","gene_ID"
"Chir01Ox-b13690.2",0,2.35906816615242,0.645,0.013,0,0,2.61704436419255,0.656,0.029,0,0,0,"Chir01Ox-b13690.2"
"Chir01Ox-b16570.2",0,2.02938467185634,0.809,0.047,0,0,1.93582372546622,0.824,0.062,0,0,0,"Chir01Ox-b16570.2"
"Chir01Ox-b23240.2",0,0.845447319047713,0.481,0.011,0,0,0.773604427515482,0.485,0.015,0,0,0,"Chir01Ox-b23240.2"
"Chir02Ox-b03100.2",0,1.88830318682573,0.634,0.004,0,0,1.62998277895231,0.589,0.004,0,0,0,"Chir02Ox-b03100.2"
"Chir02Ox-b17040.2",0,1.25024188463804,0.639,0.004,0,0,1.14880381064936,0.666,0.005,0,0,0,"Chir02Ox-b17040.2"
"Chir03Ox-b03760.2",0,1.25945090822437,0.656,0.023,0,0,1.52202012688812,0.745,0.037,0,0,0,"Chir03Ox-b03760.2"
"Chir03Ox-b21630.2",0,0.83135294980175,0.41,0.005,0,0,0.845777819696667,0.458,0.008,0,0,0,"Chir03Ox-b21630.2"
"Chir03Ox-b23410.2",0,2.33852627802327,0.781,0.014,0,0,2.31014481806591,0.884,0.023,0,0,0,"Chir03Ox-b23410.2"
"Chir03Ox-b23740.2",0,0.585871225494357,0.251,0.003,0,0,0.463026751220742,0.205,0.005,0,0,0,"Chir03Ox-b23740.2"
"Chir03Ox-b34160.2",0,0.455408446524449,0.24,0.002,0,0,0.724751979082731,0.324,0.004,0,0,0,"Chir03Ox-b34160.2"
"Chir04Ox-b12980.2",0,1.42503235712424,0.765,0.031,0,0,1.40680649959978,0.77,0.054,0,0,0,"Chir04Ox-b12980.2"
"Chir06Ox-b12190.2",0,0.935013667281908,0.557,0.016,0,0,0.797134212288978,0.488,0.021,0,0,0,"Chir06Ox-b12190.2"
"Chir06Ox-b36910.2",0,0.946088577292935,0.59,0.02,0,0,0.766591732252703,0.545,0.03,0,0,0,"Chir06Ox-b36910.2"
"Chir07Ox-b06830.2",0,0.252967260244573,0.175,0.001,0,0,0.429744374274042,0.248,0.007,0,0,0,"Chir07Ox-b06830.2"
"Chir07Ox-b33410.2",0,1.16023993019127,0.497,0.024,0,0,1.14246002711448,0.49,0.039,0,0,0,"Chir07Ox-b33410.2"
"Chir07Ox-b33780.2",0,0.634445437109444,0.41,0.009,0,0,0.466274442347152,0.342,0.011,0,0,0,"Chir07Ox-b33780.2"
"Chir08Ox-b10180.2",0,2.46996217708137,0.694,0.006,0,0,2.78163727686509,0.735,0.009,0,0,0,"Chir08Ox-b10180.2"
"Chir08Ox-b23570.2",0,0.261711273370833,0.202,0.002,0,0,0.267028994106695,0.163,0.002,0,0,0,"Chir08Ox-b23570.2"
"Chir08Ox-b30210.2",0,0.720587713924161,0.421,0.014,0,0,0.839285034743648,0.478,0.025,0,0,0,"Chir08Ox-b30210.2"
"Chir07Ox-b28870.2",0,0.559877813828508,0.197,0.003,0,0,0.32331790259313,0.149,0.003,0,0,0,"Chir07Ox-b28870.2"
"Chir06Ox-b13230.2",2.19044969876577e-303,0.285484407266042,0.131,0.001,4.33117618936955e-299,0,0.39162271007678,0.134,0.002,0,2.19044969876577e-303,0,"Chir06Ox-b13230.2"
"Chir08Ox-b16470.2",1.69950256991366e-273,2.97238768663522,0.634,0.051,3.36042643149028e-269,0,2.88356934512774,0.691,0.059,0,1.69950256991366e-273,0,"Chir08Ox-b16470.2"
"Chir03Ox-b19030.2",8.66284828953091e-262,0.908611931740695,0.366,0.016,1.71290499228895e-257,0,1.14447149372732,0.49,0.031,0,8.66284828953091e-262,0,"Chir03Ox-b19030.2"
"Chir08Ox-b20700.2",1.24525950465241e-251,0.253222714246484,0.142,0.002,2.46225161854921e-247,0,0.292639298210796,0.198,0.004,0,1.24525950465241e-251,0,"Chir08Ox-b20700.2"
