"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008236","GO:0008236","serine-type peptidase activity","8/142","190/21875",3.47750924388449e-05,0.00312975831949604,0.00280031007533857,"AIR3/NA/SCPL51/scpl20/BRS1/SCPL34/NA/NA",8
"GO:0017171","GO:0017171","serine hydrolase activity","8/142","190/21875",3.47750924388449e-05,0.00312975831949604,0.00280031007533857,"AIR3/NA/SCPL51/scpl20/BRS1/SCPL34/NA/NA",8
"GO:0008238","GO:0008238","exopeptidase activity","5/142","85/21875",0.000232204107043025,0.0139322464225815,0.0124656941675729,"NA/SCPL51/scpl20/BRS1/SCPL34",5
"GO:0004568","GO:0004568","chitinase activity","3/142","23/21875",0.000431204202787354,0.01544417502002,0.0138184723863337,"NA/NA/ChiC",3
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","5/142","126/21875",0.00139859336058839,0.0314683506132388,0.0281558926539505,"AtNPF2.13/NIP6/ATPT2/AtNIP5;1/ATNRT3.1",5
