"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir08Ox-b03260.2",0,0.3037145274603,0.415,0.041,0,"Chir08Ox-b03260.2"
"Chir05Ox-b17310.2",0,0.331372286536192,0.446,0.055,0,"Chir05Ox-b17310.2"
"Chir01Ox-b05830.2",1.28693175456243e-261,0.426975793196834,0.39,0.058,2.54465015829629e-257,"Chir01Ox-b05830.2"
"Chir07Ox-b11460.2",0,0.98278095730455,0.652,0.064,0,"Chir07Ox-b11460.2"
"Chir04Ox-b16340.2",4.7367279952733e-180,0.253829936679815,0.367,0.066,9.3659322650539e-176,"Chir04Ox-b16340.2"
"Chir08Ox-b18100.2",0,0.860459338082156,0.496,0.069,0,"Chir08Ox-b18100.2"
"Chir06Ox-b36550.2",2.00450012992661e-49,0.292087011818222,0.222,0.071,3.96349810690389e-45,"Chir06Ox-b36550.2"
"Chir05Ox-b22400.2",3.24016145781749e-15,0.413102034625642,0.156,0.075,6.40677125054252e-11,"Chir05Ox-b22400.2"
"Chir07Ox-b21320.2",0,1.07025132181509,0.826,0.076,0,"Chir07Ox-b21320.2"
"Chir02Ox-b18790.2",1.49961889328572e-73,0.358528377433251,0.279,0.077,2.96519643769386e-69,"Chir02Ox-b18790.2"
"Chir02Ox-b02110.2",0,0.979365520078631,0.754,0.081,0,"Chir02Ox-b02110.2"
"Chir08Ox-b28070.2",6.19131092396466e-296,0.475770071523864,0.493,0.081,1.22420790899553e-291,"Chir08Ox-b28070.2"
"Chir07Ox-b25670.2",1.45979004312937e-290,0.37457227657023,0.515,0.089,2.8864428522797e-286,"Chir07Ox-b25670.2"
"Chir06Ox-b13800.2",2.95294525423593e-206,0.298056964403385,0.443,0.089,5.83885865120071e-202,"Chir06Ox-b13800.2"
"Chir03Ox-b35140.2",1.44053934297046e-167,0.299644826663884,0.415,0.09,2.8483784428555e-163,"Chir03Ox-b35140.2"
"Chir01Ox-b23560.2",0,0.626194695955071,0.699,0.091,0,"Chir01Ox-b23560.2"
"Chir06Ox-b33380.2",4.74851639070796e-245,0.331042227782798,0.488,0.091,9.38924145934684e-241,"Chir06Ox-b33380.2"
"Chir05Ox-b17110.2",0,1.30247233473786,0.834,0.092,0,"Chir05Ox-b17110.2"
"Chir07Ox-b04740.2",0,0.566526802662086,0.652,0.092,0,"Chir07Ox-b04740.2"
"Chir04Ox-b02430.2",0,0.63784577754452,0.551,0.095,0,"Chir04Ox-b02430.2"
"Chir03Ox-b10770.2",1.72065473123023e-268,0.610176710650658,0.519,0.095,3.40225060006154e-264,"Chir03Ox-b10770.2"
"Chir01Ox-b16660.2",6.74365811850803e-124,0.432123064811619,0.38,0.095,1.33342351977259e-119,"Chir01Ox-b16660.2"
"Chir01Ox-b38200.2",0,0.41342290214204,0.549,0.098,0,"Chir01Ox-b38200.2"
"Chir05Ox-b17060.2",0,1.34296723915065,0.81,0.098,0,"Chir05Ox-b17060.2"
"Chir01Ox-b41580.2",9.51030977078584e-63,0.392159072920051,0.29,0.098,1.88047355097748e-58,"Chir01Ox-b41580.2"
"Chir08Ox-b30340.2",1.08980396062747e-157,0.597912365569501,0.44,0.1,2.15486937134869e-153,"Chir08Ox-b30340.2"
"Chir03Ox-b16050.2",0,0.736435811659449,0.681,0.101,0,"Chir03Ox-b16050.2"
"Chir05Ox-b16570.2",0,2.54965266220695,0.952,0.103,0,"Chir05Ox-b16570.2"
"Chir01Ox-b38820.2",0,0.749466568594625,0.715,0.104,0,"Chir01Ox-b38820.2"
"Chir02Ox-b02100.2",0,1.67348729466811,0.852,0.105,0,"Chir02Ox-b02100.2"
"Chir07Ox-b06540.2",0,1.70356164947854,0.779,0.106,0,"Chir07Ox-b06540.2"
"Chir08Ox-b30440.2",3.13229520800278e-155,0.926880085419639,0.441,0.106,6.19348731478389e-151,"Chir08Ox-b30440.2"
"Chir03Ox-b31960.2",2.1027600353496e-268,0.450646468419879,0.559,0.107,4.15778741789677e-264,"Chir03Ox-b31960.2"
"Chir06Ox-b37380.2",0,0.618984921721298,0.641,0.108,0,"Chir06Ox-b37380.2"
"Chir06Ox-b05150.2",0,1.74630124164639,0.928,0.109,0,"Chir06Ox-b05150.2"
"Chir02Ox-b13120.2",0,0.770967528620701,0.718,0.11,0,"Chir02Ox-b13120.2"
"Chir05Ox-b20190.2",0,0.798540434151688,0.712,0.11,0,"Chir05Ox-b20190.2"
"Chir07Ox-b34930.2",1.00016701603377e-128,0.510885304372626,0.422,0.111,1.97763024080357e-124,"Chir07Ox-b34930.2"
"Chir04Ox-b24880.2",0,2.09868203446894,0.936,0.115,0,"Chir04Ox-b24880.2"
"Chir01Ox-b29140.2",0,0.566259697819283,0.726,0.118,0,"Chir01Ox-b29140.2"
"Chir03Ox-b06410.2",0,0.487936256714751,0.631,0.119,0,"Chir03Ox-b06410.2"
"Chir07Ox-b25410.2",2.69612514381226e-234,0.57622128014118,0.556,0.122,5.33104824685998e-230,"Chir07Ox-b25410.2"
"Chir08Ox-b02080.2",0,1.88813078202397,0.807,0.125,0,"Chir08Ox-b02080.2"
"Chir01Ox-b02600.2",0,1.26804437206084,0.907,0.126,0,"Chir01Ox-b02600.2"
"Chir03Ox-b01230.2",0,2.36785912463746,0.934,0.126,0,"Chir03Ox-b01230.2"
"Chir01Ox-b02880.2",2.21099571930336e-235,0.651562161355097,0.586,0.126,4.37180183577853e-231,"Chir01Ox-b02880.2"
"Chir03Ox-b01760.2",0,1.82799994799697,0.71,0.129,0,"Chir03Ox-b01760.2"
"Chir08Ox-b29660.2",1.59560771228466e-121,0.279443733995897,0.451,0.129,3.15499512950047e-117,"Chir08Ox-b29660.2"
"Chir07Ox-b13730.2",0,1.12447640478467,0.879,0.132,0,"Chir07Ox-b13730.2"
"Chir06Ox-b14720.2",0,2.05264422041317,0.899,0.133,0,"Chir06Ox-b14720.2"
"Chir06Ox-b09080.2",0,0.982936835055586,0.889,0.134,0,"Chir06Ox-b09080.2"
"Chir01Ox-b14270.2",5.76643414128822e-207,0.600777399519018,0.548,0.134,1.14019702275692e-202,"Chir01Ox-b14270.2"
"Chir07Ox-b19650.2",9.64282176127418e-186,0.304647211626936,0.541,0.135,1.90667514685674e-181,"Chir07Ox-b19650.2"
"Chir06Ox-b02560.2",1.18349775317701e-251,0.885649953942989,0.609,0.136,2.34013010735689e-247,"Chir06Ox-b02560.2"
"Chir04Ox-b20530.2",3.0620852207862e-219,0.366128315067157,0.572,0.136,6.05466110706054e-215,"Chir04Ox-b20530.2"
"Chir06Ox-b14540.2",0,0.950581650712139,0.757,0.138,0,"Chir06Ox-b14540.2"
"Chir01Ox-b08130.2",0,1.57808112653881,0.742,0.139,0,"Chir01Ox-b08130.2"
"Chir06Ox-b23890.2",0,1.12050565150544,0.805,0.139,0,"Chir06Ox-b23890.2"
"Chir03Ox-b13730.2",0,1.2294642623907,0.654,0.141,0,"Chir03Ox-b13730.2"
"Chir01Ox-b18580.2",0,0.533470061318534,0.705,0.143,0,"Chir01Ox-b18580.2"
"Chir08Ox-b03040.2",0,1.81957707597304,0.894,0.144,0,"Chir08Ox-b03040.2"
"Chir08Ox-b12940.2",3.29233834823938e-235,0.43883794810174,0.604,0.144,6.50994061597372e-231,"Chir08Ox-b12940.2"
"Chir04Ox-b30460.2",4.63397534272952e-171,0.318708913874447,0.556,0.145,9.16275944517907e-167,"Chir04Ox-b30460.2"
"Chir05Ox-b03290.2",9.00618353302554e-196,0.693058720046593,0.58,0.147,1.78079266998514e-191,"Chir05Ox-b03290.2"
"Chir07Ox-b23780.2",1.40274040107965e-103,0.347265801966686,0.473,0.15,2.77363859505479e-99,"Chir07Ox-b23780.2"
"Chir01Ox-b29930.2",0,2.67676327758358,0.987,0.151,0,"Chir01Ox-b29930.2"
"Chir07Ox-b33070.2",0,1.12203029012823,0.767,0.151,0,"Chir07Ox-b33070.2"
"Chir06Ox-b32640.2",1.1228296003059e-269,0.774828070549158,0.678,0.153,2.22017096868485e-265,"Chir06Ox-b32640.2"
"Chir01Ox-b18390.2",0,0.919458330841613,0.791,0.154,0,"Chir01Ox-b18390.2"
"Chir07Ox-b10240.2",3.31877392523828e-206,0.585221231024958,0.614,0.154,6.56221168237366e-202,"Chir07Ox-b10240.2"
"Chir01Ox-b28150.2",1.02422045097416e-113,0.266134220516415,0.485,0.157,2.02519109771121e-109,"Chir01Ox-b28150.2"
"Chir04Ox-b20070.2",0,0.587186505416418,0.744,0.161,0,"Chir04Ox-b20070.2"
"Chir06Ox-b35060.2",2.2415467773562e-284,0.788165016315996,0.684,0.161,4.43221044286642e-280,"Chir06Ox-b35060.2"
"Chir07Ox-b12350.2",5.47250336992674e-144,0.781394887484229,0.549,0.161,1.08207809133562e-139,"Chir07Ox-b12350.2"
"Chir07Ox-b18750.2",4.08155658421714e-229,0.43476682878511,0.634,0.162,8.07046183397255e-225,"Chir07Ox-b18750.2"
"Chir08Ox-b00690.2",3.35925633976808e-113,0.293413800853092,0.494,0.163,6.64225756062343e-109,"Chir08Ox-b00690.2"
"Chir04Ox-b26990.2",2.02228548824232e-268,0.559760289355245,0.689,0.168,3.99866509590154e-264,"Chir04Ox-b26990.2"
"Chir08Ox-b09270.2",1.96316783742165e-304,0.568669259781634,0.736,0.169,3.88177176493383e-300,"Chir08Ox-b09270.2"
"Chir03Ox-b02860.2",3.52518862318236e-281,0.520363287249213,0.709,0.169,6.97035546461849e-277,"Chir03Ox-b02860.2"
"Chir02Ox-b18900.2",9.04047061836674e-111,0.335573481527781,0.538,0.173,1.78757225536966e-106,"Chir02Ox-b18900.2"
"Chir01Ox-b30050.2",0,1.25087522685395,0.905,0.174,0,"Chir01Ox-b30050.2"
