"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005694","GO:0005694","chromosome","19/44","416/25124",9.27534372413721e-23,5.10143904827546e-21,2.14797433611599e-21,"CENH3/G-H2AX/HMGA/HMG/ORTH2/PSF1/HIS4/H1.2/EMB2795/H2A.Z/PSF2/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6/ATRPA70D/ATCAP-E1",19
"GO:0000228","GO:0000228","nuclear chromosome","14/44","242/25124",3.60544494858207e-18,9.91497360860069e-17,4.17472572993713e-17,"G-H2AX/HMGA/ORTH2/PSF1/EMB2795/H2A.Z/PSF2/HTA13/H2A.Z/HTA2/ATRAD51/ATCAP-C/h2a.w.6/ATRPA70D",14
"GO:0044815","GO:0044815","DNA packaging complex","6/44","25/25124",3.49394614112696e-12,4.80417594404956e-11,2.02281092381034e-11,"HMGA/HIS4/H1.2/EMB2795/ATCAP-C/ATCAP-E1",6
"GO:0032993","GO:0032993","protein-DNA complex","7/44","61/25124",1.24480131059888e-11,1.36928144165876e-10,5.76539554382638e-11,"HMGA/PSF1/HIS4/H1.2/PSF2/ABAP1/ATRPA70D",7
"GO:0018995","GO:0018995","host cellular component","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033643","GO:0033643","host cell part","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033646","GO:0033646","host intracellular part","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033647","GO:0033647","host intracellular organelle","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0042025","GO:0042025","host cell nucleus","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0043656","GO:0043656","host intracellular region","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0043657","GO:0043657","host cell","4/44","161/25124",0.000180601166975856,0.000551836899092892,0.000232352378565428,"HMGA/CYCA3;2/H1.2/CYCA3;1",4
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","2/44","62/25124",0.00530259151479345,0.0121517722214017,0.00511653567216912,"CYCA3;2/CYCA3;1",2
